,name,team,rec_target,rec_rec,rec_yd,rec_td,fp,season,week,next_fp,rush_att,rush_yd,rush_td,afc_n,afc_s,afc_w,nfc_e,nfc_n,nfc_s,nfc_w,temperature,wind,precipitation,status_code
2904,Jermaine Gresham,Bengals,12.0,10.0,48.0,0.0,4.8,2014,7,3.4,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2905,Jermaine Gresham,Bengals,4.0,4.0,34.0,0.0,3.4,2014,8,3.6,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2906,Ryan Hewitt,Bengals,1.0,1.0,5.0,0.0,0.5,2014,8,0.7,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2907,Jermaine Gresham,Bengals,6.0,5.0,36.0,0.0,3.6,2014,9,2.9,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2908,Ryan Hewitt,Bengals,2.0,1.0,7.0,0.0,0.7,2014,9,0.3,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2909,Jermaine Gresham,Bengals,6.0,3.0,29.0,0.0,2.9,2014,10,13.3,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2910,Kevin Brock,Bengals,2.0,1.0,4.0,0.0,0.4,2014,10,1.8,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2911,Jermaine Gresham,Bengals,3.0,2.0,13.0,2.0,13.3,2014,11,3.3,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2912,Jermaine Gresham,Bengals,6.0,4.0,33.0,0.0,3.3,2014,12,3.3,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2913,Jermaine Gresham,Bengals,5.0,5.0,33.0,0.0,3.3,2014,13,8.3,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2914,Ryan Hewitt,Bengals,1.0,1.0,3.0,0.0,0.3,2014,13,3.4,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2915,Jermaine Gresham,Bengals,4.0,3.0,23.0,1.0,8.3,2014,14,12.2,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2916,Kevin Brock,Bengals,2.0,2.0,18.0,0.0,1.8,2014,14,0.2,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2917,Jermaine Gresham,Bengals,11.0,9.0,62.0,1.0,12.2,2014,16,8.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2918,Jermaine Gresham,Bengals,3.0,3.0,20.0,1.0,8.0,2014,17,0.4,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2919,Ryan Hewitt,Bengals,6.0,3.0,31.0,0.0,3.1,2014,17,1.6,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2920,Jermaine Gresham,Cardinals,1.0,1.0,5.0,0.0,0.5,2015,2,3.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
